Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
800,2003,0.35,2.28,127000,Petrol,Individual,Manual,0
alto k10,2016,3,3.76,10079,Petrol,Dealer,Manual,0
sx4,2003,2.25,7.98,62000,Petrol,Dealer,Manual,0
baleno,2016,5.85,7.87,24524,Petrol,Dealer,Automatic,0
alto k10,2014,2.55,3.98,46706,Petrol,Dealer,Manual,0
sx4,2008,1.95,7.15,58000,Petrol,Dealer,Manual,0
dzire,2014,5.5,8.06,45780,Diesel,Dealer,Manual,0
omni,2012,1.25,2.69,50000,Petrol,Dealer,Manual,0
ciaz,2014,7.5,12.04,15000,Petrol,Dealer,Automatic,0
ritz,2013,2.65,4.89,64532,Petrol,Dealer,Manual,0
wagon r,2006,1.05,4.15,65000,Petrol,Dealer,Manual,0
ertiga,2015,5.8,7.71,25870,Petrol,Dealer,Manual,0
ciaz,2017,7.75,9.29,37000,Petrol,Dealer,Automatic,0
fortuner,2012,14.9,30.61,104707,Diesel,Dealer,Automatic,0
fortuner,2015,23,30.61,40000,Diesel,Dealer,Automatic,0
innova,2017,18,19.77,15000,Diesel,Dealer,Automatic,0
fortuner,2013,16,30.61,135000,Diesel,Individual,Automatic,0
innova,2005,2.75,10.21,90000,Petrol,Individual,Manual,0
corolla altis,2009,3.6,15.04,70000,Petrol,Dealer,Automatic,0
etios cross,2015,4.5,7.27,40534,Petrol,Dealer,Manual,0
corolla altis,2010,4.75,18.54,50000,Petrol,Dealer,Manual,0
etios g,2014,4.1,6.8,39485,Petrol,Dealer,Manual,1
fortuner,2014,19.99,35.96,41000,Diesel,Dealer,Automatic,0
corolla altis,2013,6.95,18.61,40001,Petrol,Dealer,Manual,0
etios cross,2015,4.5,7.7,40588,Petrol,Dealer,Manual,0
fortuner,2014,18.75,35.96,78000,Diesel,Dealer,Automatic,0
fortuner,2015,23.5,35.96,47000,Diesel,Dealer,Automatic,0
fortuner,2017,33,36.23,6000,Diesel,Dealer,Automatic,0
etios liva,2014,4.75,6.95,45000,Diesel,Dealer,Manual,0
innova,2017,19.75,23.15,11000,Petrol,Dealer,Automatic,0
fortuner,2010,9.25,20.45,59000,Diesel,Dealer,Manual,0
corolla altis,2011,4.35,13.74,88000,Petrol,Dealer,Manual,0
corolla altis,2016,14.25,20.91,12000,Petrol,Dealer,Manual,0
etios liva,2014,3.95,6.76,71000,Diesel,Dealer,Manual,0
corolla altis,2011,4.5,12.48,45000,Diesel,Dealer,Manual,0
corolla altis,2013,7.45,18.61,56001,Petrol,Dealer,Manual,0
etios liva,2011,2.65,5.71,43000,Petrol,Dealer,Manual,0
etios cross,2014,4.9,8.93,83000,Diesel,Dealer,Manual,0
etios g,2015,3.95,6.8,36000,Petrol,Dealer,Manual,0
corolla altis,2013,5.5,14.68,72000,Petrol,Dealer,Manual,0
corolla,2004,1.5,12.35,135154,Petrol,Dealer,Automatic,0
corolla altis,2010,5.25,22.83,80000,Petrol,Dealer,Automatic,0
fortuner,2012,14.5,30.61,89000,Diesel,Dealer,Automatic,0
corolla altis,2016,14.73,14.89,23000,Diesel,Dealer,Manual,0
etios gd,2015,4.75,7.85,40000,Diesel,Dealer,Manual,0
innova,2017,23,25.39,15000,Diesel,Dealer,Automatic,0
innova,2015,12.5,13.46,38000,Diesel,Dealer,Manual,0
innova,2005,3.49,13.46,197176,Diesel,Dealer,Manual,0
camry,2006,2.5,23.73,142000,Petrol,Individual,Automatic,3
land cruiser,2010,35,92.6,78000,Diesel,Dealer,Manual,0
corolla altis,2012,5.9,13.74,56000,Petrol,Dealer,Manual,0
etios liva,2013,3.45,6.05,47000,Petrol,Dealer,Manual,0
etios g,2014,4.75,6.76,40000,Petrol,Dealer,Manual,0
corolla altis,2009,3.8,18.61,62000,Petrol,Dealer,Manual,0
innova,2014,11.25,16.09,58242,Diesel,Dealer,Manual,0
innova,2005,3.51,13.7,75000,Petrol,Dealer,Manual,0
fortuner,2015,23,30.61,40000,Diesel,Dealer,Automatic,0
corolla altis,2008,4,22.78,89000,Petrol,Dealer,Automatic,0
corolla altis,2012,5.85,18.61,72000,Petrol,Dealer,Manual,0
innova,2016,20.75,25.39,29000,Diesel,Dealer,Automatic,0
corolla altis,2017,17,18.64,8700,Petrol,Dealer,Manual,0
corolla altis,2013,7.05,18.61,45000,Petrol,Dealer,Manual,0
fortuner,2010,9.65,20.45,50024,Diesel,Dealer,Manual,0
i20,2010,3.25,6.79,58000,Diesel,Dealer,Manual,1
grand i10,2015,4.4,5.7,28200,Petrol,Dealer,Manual,0
i10,2011,2.95,4.6,53460,Petrol,Dealer,Manual,0
eon,2015,2.75,4.43,28282,Petrol,Dealer,Manual,0
grand i10,2016,5.25,5.7,3493,Petrol,Dealer,Manual,1
xcent,2017,5.75,7.13,12479,Petrol,Dealer,Manual,0
grand i10,2015,5.15,5.7,34797,Petrol,Dealer,Automatic,0
i20,2017,7.9,8.1,3435,Petrol,Dealer,Manual,0
grand i10,2015,4.85,5.7,21125,Diesel,Dealer,Manual,0
i10,2012,3.1,4.6,35775,Petrol,Dealer,Manual,0
elantra,2015,11.75,14.79,43535,Diesel,Dealer,Manual,0
creta,2016,11.25,13.6,22671,Petrol,Dealer,Manual,0
i20,2011,2.9,6.79,31604,Petrol,Dealer,Manual,0
grand i10,2017,5.25,5.7,20114,Petrol,Dealer,Manual,0
verna,2012,4.5,9.4,36100,Petrol,Dealer,Manual,0
eon,2016,2.9,4.43,12500,Petrol,Dealer,Manual,0
eon,2016,3.15,4.43,15000,Petrol,Dealer,Manual,0
verna,2014,6.45,9.4,45078,Petrol,Dealer,Manual,0
verna,2012,4.5,9.4,36000,Petrol,Dealer,Manual,0
eon,2017,3.5,4.43,38488,Petrol,Dealer,Manual,0
i20,2013,4.5,6.79,32000,Petrol,Dealer,Automatic,0
i20,2014,6,7.6,77632,Diesel,Dealer,Manual,0
verna,2015,8.25,9.4,61381,Diesel,Dealer,Manual,0
verna,2013,5.11,9.4,36198,Petrol,Dealer,Automatic,0
i10,2011,2.7,4.6,22517,Petrol,Dealer,Manual,0
grand i10,2015,5.25,5.7,24678,Petrol,Dealer,Manual,0
i10,2011,2.55,4.43,57000,Petrol,Dealer,Manual,0
verna,2012,4.95,9.4,60000,Diesel,Dealer,Manual,0
i20,2012,3.1,6.79,52132,Diesel,Dealer,Manual,0
verna,2013,6.15,9.4,45000,Diesel,Dealer,Manual,0
verna,2017,9.25,9.4,15001,Petrol,Dealer,Manual,0
elantra,2015,11.45,14.79,12900,Petrol,Dealer,Automatic,0
grand i10,2013,3.9,5.7,53000,Diesel,Dealer,Manual,0
grand i10,2015,5.5,5.7,4492,Petrol,Dealer,Manual,0
verna,2017,9.1,9.4,15141,Petrol,Dealer,Manual,0
eon,2016,3.1,4.43,11849,Petrol,Dealer,Manual,0
creta,2015,11.25,13.6,68000,Diesel,Dealer,Manual,0
verna,2013,4.8,9.4,60241,Petrol,Dealer,Manual,0
eon,2012,2,4.43,23709,Petrol,Dealer,Manual,0
verna,2012,5.35,9.4,32322,Diesel,Dealer,Manual,0
xcent,2015,4.75,7.13,35866,Petrol,Dealer,Manual,1
xcent,2014,4.4,7.13,34000,Petrol,Dealer,Manual,0
i20,2016,6.25,7.6,7000,Petrol,Dealer,Manual,0
verna,2013,5.95,9.4,49000,Diesel,Dealer,Manual,0
verna,2012,5.2,9.4,71000,Diesel,Dealer,Manual,0
i20,2012,3.75,6.79,35000,Petrol,Dealer,Manual,0
verna,2015,5.95,9.4,36000,Petrol,Dealer,Manual,0
i10,2013,4,4.6,30000,Petrol,Dealer,Manual,0
i20,2016,5.25,7.6,17000,Petrol,Dealer,Manual,0
creta,2016,12.9,13.6,35934,Diesel,Dealer,Manual,0
city,2013,5,9.9,56701,Petrol,Dealer,Manual,0
brio,2015,5.4,6.82,31427,Petrol,Dealer,Automatic,0
city,2014,7.2,9.9,48000,Diesel,Dealer,Manual,0
city,2013,5.25,9.9,54242,Petrol,Dealer,Manual,0
brio,2012,3,5.35,53675,Petrol,Dealer,Manual,0
city,2016,10.25,13.6,49562,Petrol,Dealer,Manual,0
city,2015,8.5,13.6,40324,Petrol,Dealer,Manual,0
city,2015,8.4,13.6,25000,Petrol,Dealer,Manual,0
amaze,2014,3.9,7,36054,Petrol,Dealer,Manual,0
city,2016,9.15,13.6,29223,Petrol,Dealer,Manual,0
brio,2016,5.5,5.97,5600,Petrol,Dealer,Manual,0
amaze,2015,4,5.8,40023,Petrol,Dealer,Manual,0
jazz,2016,6.6,7.7,16002,Petrol,Dealer,Manual,0
amaze,2015,4,7,40026,Petrol,Dealer,Manual,0
jazz,2017,6.5,8.7,21200,Petrol,Dealer,Manual,0
amaze,2014,3.65,7,35000,Petrol,Dealer,Manual,0
city,2016,8.35,9.4,19434,Diesel,Dealer,Manual,0
brio,2017,4.8,5.8,19000,Petrol,Dealer,Manual,0
city,2015,6.7,10,18828,Petrol,Dealer,Manual,0
city,2011,4.1,10,69341,Petrol,Dealer,Manual,0
city,2009,3,10,69562,Petrol,Dealer,Manual,0
city,2015,7.5,10,27600,Petrol,Dealer,Manual,0
jazz,2010,2.25,7.5,61203,Petrol,Dealer,Manual,0
brio,2014,5.3,6.8,16500,Petrol,Dealer,Manual,0
city,2016,10.9,13.6,30753,Petrol,Dealer,Automatic,0
city,2015,8.65,13.6,24800,Petrol,Dealer,Manual,0
city,2015,9.7,13.6,21780,Petrol,Dealer,Manual,0
jazz,2016,6,8.4,4000,Petrol,Dealer,Manual,0
city,2014,6.25,13.6,40126,Petrol,Dealer,Manual,0
brio,2015,5.25,5.9,14465,Petrol,Dealer,Manual,0
city,2006,2.1,7.6,50456,Petrol,Dealer,Manual,0
city,2014,8.25,14,63000,Diesel,Dealer,Manual,0
city,2016,8.99,11.8,9010,Petrol,Dealer,Manual,0
brio,2013,3.5,5.9,9800,Petrol,Dealer,Manual,0
jazz,2016,7.4,8.5,15059,Petrol,Dealer,Automatic,0
jazz,2016,5.65,7.9,28569,Petrol,Dealer,Manual,0
amaze,2015,5.75,7.5,44000,Petrol,Dealer,Automatic,0
city,2015,8.4,13.6,34000,Petrol,Dealer,Manual,0
city,2016,10.11,13.6,10980,Petrol,Dealer,Manual,0
amaze,2014,4.5,6.4,19000,Petrol,Dealer,Manual,0
brio,2015,5.4,6.1,31427,Petrol,Dealer,Manual,0
jazz,2016,6.4,8.4,12000,Petrol,Dealer,Manual,0
city,2010,3.25,9.9,38000,Petrol,Dealer,Manual,0
amaze,2014,3.75,6.8,33019,Petrol,Dealer,Manual,0
city,2015,8.55,13.09,60076,Diesel,Dealer,Manual,0
city,2016,9.5,11.6,33988,Diesel,Dealer,Manual,0
brio,2015,4,5.9,60000,Petrol,Dealer,Manual,0
city,2009,3.35,11,87934,Petrol,Dealer,Manual,0
city,2017,11.5,12.5,9000,Diesel,Dealer,Manual,0
brio,2016,5.3,5.9,5464,Petrol,Dealer,Manual,0
MarutiWagonR1.0LXI,2014,3.12,5.47,82238,Petrol,Dealer,Manual,0
ToyotaEtiosLiva,2013,3.13,5.68,30558,Petrol,Dealer,Manual,0
MarutiAlto800,2018,2.95,4,22164,Petrol,Dealer,Manual,0
MarutiSwift,2013,4.35,5.91,30535,Diesel,Dealer,Manual,0
MarutiWagonR1.0,2013,2.89,5.47,15738,Petrol,Dealer,Manual,0
HyundaiElitei20ASTA1.2,2018,7.08,10.56,32652,Petrol,Dealer,Manual,0
HyundaiGrandi10SPORTZ1.2KAPPA,2013,4.1,6.77,32496,Petrol,Dealer,Manual,0
HyundaiElitei20ASTA,2015,6.06,8.8,27487,Petrol,Dealer,Manual,0
MarutiCelerio,2018,4.59,5.23,41383,Petrol,Dealer,Manual,0
MarutiWagonR1.0,2012,2.65,5.47,65476,Petrol,Dealer,Manual,0
MarutiSwiftDzireVXI1.2BS,2013,4.26,6.84,27992,Petrol,Dealer,Manual,0
MarutiDzire,2018,6.71,7.27,14061,Petrol,Dealer,Manual,0
HondaCivic1.8S,2007,1.46,10.23,52138,Petrol,Dealer,Manual,3
MarutiAltoK10VXI,2014,2.9,3.9,46410,Petrol,Dealer,Manual,1
MarutiAlto800LXI,2016,2.85,3.94,47168,Petrol,Dealer,Manual,0
HyundaiVernaFLUIDIC1.6EX,2013,5.29,11.02,72813,Petrol,Dealer,Manual,0
ToyotaEtiosCROSS1.4,2015,4.24,7.88,79123,Diesel,Dealer,Manual,0
HondaCitySVCVT,2016,6.15,12.88,72097,Petrol,Dealer,Automatic,0
VolkswagenVentoHIGHLINE,2014,4.13,10,151201,Diesel,Dealer,Manual,0
Hyundaii20MAGNAO,2012,3.28,7.03,73356,Petrol,Dealer,Manual,0
VolkswagenPoloGT,2018,9.48,10.24,14516,Petrol,Dealer,Manual,0
MahindraTUV300,2016,6.56,10.05,34658,Diesel,Dealer,Manual,0
HondaAmaze1.5VCVT,2018,6.98,10.61,53486,Diesel,Dealer,Manual,0
TataNanoXT,2014,1,2.03,35905,Petrol,Dealer,Manual,0
RenaultKwid,2016,2.5,4.62,39278,Petrol,Dealer,Manual,1
MarutiAltoK10,2017,3.09,3.9,36245,Petrol,Dealer,Manual,0
HyundaiElitei20SPORTZ,2015,5.18,8.84,61923,Petrol,Dealer,Manual,0
MarutiZenEstilo,2010,2.11,3.55,39612,Petrol,Dealer,Manual,3
MarutiCelerioZXI,2015,3.32,5.94,58558,Petrol,Dealer,Automatic,0
MarutiSwiftDzireVDIBS,2013,4.77,6.46,72553,Diesel,Dealer,Manual,0
MarutiBalenoALPHA1.2,2018,6.69,9.1,13931,Petrol,Dealer,Manual,0
MarutiSwiftVDI,2016,4.47,7.45,48780,Diesel,Dealer,Manual,1
TataTiagoXT1.2,2016,3.18,5.95,86339,Petrol,Dealer,Manual,0
MahindraBoleroPower+,2018,8.4,9.08,25376,Diesel,Dealer,Manual,0
HyundaiElitei20MAGNA1.4,2017,6.67,9.23,15683,Petrol,Dealer,Automatic,0
MarutiSX4,2011,2.1,8.71,117838,Diesel,Dealer,Manual,0
MarutiBalenoDELTA1.2K12,2017,5.73,7.26,28083,Petrol,Dealer,Automatic,0
MarutiSwiftVXI,2010,3.15,6.81,45714,Petrol,Dealer,Manual,1
HondaCityVMT,2011,3.19,11.28,50615,Petrol,Dealer,Manual,0
MahindraXUV500W8,2012,4.41,15.38,59608,Diesel,Dealer,Manual,0
HyundaiVENUE1.4CRDIMT,2019,9.91,11.8,2823,Diesel,Dealer,Manual,0
MarutiSwift,2012,2.6,5.91,141644,Petrol,Dealer,Manual,0
ToyotaEtiosLiva,2013,3.11,7.01,105493,Diesel,Dealer,Manual,1
Hyundaii20MAGNAO1.4,2012,3.63,6.63,83767,Diesel,Dealer,Manual,0
MarutiAltoK10VXI,2015,3.75,4.39,11362,Petrol,Dealer,Manual,0
MarutiSwift,2012,3.41,6.39,61365,Diesel,Dealer,Manual,1
FordEcosport1.5TITANIUMTI,2014,4.86,9.99,87581,Petrol,Dealer,Manual,0
MarutiSwift,2012,2.92,6.39,96637,Diesel,Dealer,Manual,1
Hyundaii10SPORTZ1.2,2012,2.27,4.77,76177,Petrol,Dealer,Manual,0
HondaBrio1.2VMTI,2013,3.52,5.97,33953,Petrol,Dealer,Manual,1
MarutiErtigaZXISMARTHYBRID,2019,8.4,10.59,17435,Petrol,Dealer,Manual,0
HondaCityVXMT,2014,4.67,12.89,89834,Diesel,Dealer,Manual,0
HondaCityVXMT,2014,6.06,12.89,83278,Diesel,Dealer,Manual,0
MarutiAlto800,2013,1.8,3.95,49275,Petrol,Dealer,Manual,0
MarutiAltoK10VXI,2016,3.23,3.94,19138,Petrol,Dealer,Manual,0
HondaBrio1.2VMTI,2012,2.19,5.97,62852,Petrol,Dealer,Manual,1
MahindraScorpioS6,2016,10.45,12.75,47310,Diesel,Dealer,Manual,0
HyundaiVENUE1.0LTurboGDISX(O),2019,9.77,10.65,8701,Petrol,Dealer,Manual,0
MarutiAlto800,2019,3.32,4.2,8393,Petrol,Dealer,Manual,0
HondaAccord2.4ATI,2010,2.82,21.03,188777,Petrol,Dealer,Automatic,0
ToyotaCorollaAltis,2014,6.71,9.95,52544,Petrol,Dealer,Manual,1
VolkswagenPoloHIGHLINE1.2L,2014,4.07,6.22,33913,Petrol,Dealer,Manual,0
MarutiRitz,2013,2.4,4.51,44432,Diesel,Dealer,Manual,1
MarutiAltoK10,2010,1.42,3.9,59096,Petrol,Dealer,Manual,0
HyundaiVernaFLUIDIC1.6SXVTVT,2011,4.22,10,82265,Petrol,Dealer,Manual,0
HyundaiGrandi10SPORTS1.2,2013,4.18,6.38,39422,Petrol,Dealer,Manual,0
MarutiWagonR1.0,2012,3.45,5.55,60412,Petrol,Dealer,Manual,0
HondaCitySMT,2011,3.13,8.77,83050,Petrol,Dealer,Manual,0
HyundaiSantroXingGL,2013,1.95,4.5,111397,Petrol,Dealer,Manual,0
VolkswagenVentoHIGHLINE,2012,3.01,9.63,71219,Diesel,Dealer,Manual,0
MarutiAltoK10,2015,2.64,3.9,30539,Petrol,Dealer,Manual,0
MarutiSwiftZDI,2018,7.23,8.38,35067,Diesel,Dealer,Manual,0
MarutiAltoK10,2012,2.77,3.9,64058,Petrol,Dealer,Manual,0
MarutiErtiga,2012,3.85,8.85,54397,Diesel,Dealer,Manual,0
MarutiCelerioVXI,2015,3.47,5.74,95945,Petrol,Dealer,Manual,0
MarutiAltoK10VXI(O),2018,3.68,4.18,2610,Petrol,Dealer,Manual,1
MarutiSwift,2012,3.15,6.39,164127,Diesel,Dealer,Manual,0
Hyundaii10MAGNA,2008,1.6,5.49,68478,Petrol,Dealer,Manual,0
HyundaiElitei201.2MAGNAPLUS,2019,6.93,6.57,15086,Petrol,Dealer,Manual,0
HyundaiEonMAGNA,2013,2.63,4.17,41513,Petrol,Dealer,Manual,0
MarutiAltoK10,2011,2.7,3.9,70973,Petrol,Dealer,Manual,0
MarutiAltoK10,2018,3.38,3.9,27570,Petrol,Dealer,Manual,0
HondaCityV,2012,4.2,12.88,42481,Petrol,Dealer,Automatic,1
HondaCitySMT,2012,4.1,10.9,73247,Petrol,Dealer,Manual,3
MarutiAlto,2020,3.67,3.9,3710,Petrol,Dealer,Manual,0
VolkswagenVentoHIGHLINE,2011,4.55,14.4,84630,Petrol,Dealer,Manual,0
MarutiBalenoDELTA1.2,2018,6.81,7.76,15615,Petrol,Dealer,Manual,0
MarutiSwiftDzireVXI1.2BS,2011,3.13,6.23,15248,Petrol,Dealer,Manual,0
MarutiAltoK10,2012,1.56,3.9,45362,Petrol,Dealer,Manual,1
HyundaiVernaFLUIDIC1.6SXCRDI,2013,5.21,11.73,41856,Diesel,Dealer,Manual,0
MahindraScorpioS6,2016,9.77,12.63,43867,Diesel,Dealer,Manual,0
Hyundaii20MAGNA1.2,2009,1.81,7.03,68656,Petrol,Dealer,Manual,3
MarutiSwiftDzireLXI1.2BS,2013,2.3,6.69,173110,Petrol,Dealer,Manual,0
ToyotaEtios,2011,2.35,7.04,114409,Diesel,Dealer,Manual,0
NissanMicraXVPREMIUM,2012,3.48,7.66,72949,Diesel,Dealer,Manual,0
MarutiZenEstilo,2010,2.22,4.12,43196,Petrol,Dealer,Manual,1
MarutiAltoK10,2014,1.5,3.9,50294,Petrol,Dealer,Manual,0
HyundaiGrandi10SPORTZ(O)1.2AT,2017,4.92,7.98,85389,Petrol,Dealer,Manual,0
MarutiAlto,2009,1.2,3.25,102742,Petrol,Dealer,Manual,0
VolkswagenPoloHIGHLINE1.2L,2014,2.83,6.82,114877,Diesel,Dealer,Manual,0
MarutiWagonR1.0LXICNG,2017,4.24,6.17,20570,Petrol,Dealer,Manual,1
MarutiVitaraBrezza,2019,7.79,8.15,37265,Diesel,Dealer,Manual,0
MarutiVitaraBrezza,2019,7.56,8.15,39833,Diesel,Dealer,Manual,0
HondaAmaze1.2SMTI,2013,3.45,7.42,58944,Petrol,Dealer,Manual,1
HyundaiVernaFLUIDIC1.6SX,2013,3.54,10,119265,Petrol,Dealer,Manual,0
HyundaiGrandi10ASTAAT1.2KAPPA,2016,4.43,6.67,90217,Petrol,Dealer,Manual,0
ToyotaInnova2.5GX8STRBS,2013,7.87,14.2,147140,Diesel,Dealer,Manual,0
HyundaiElitei20ASTA,2017,5.95,7.15,35045,Petrol,Dealer,Manual,0
HondaAmaze1.2SMTI,2014,3.97,7.42,38790,Petrol,Dealer,Manual,0
MarutiAlto800,2018,3.09,3.94,8105,Petrol,Dealer,Manual,0
Hyundaii20MAGNAO1.4,2013,4.06,6.66,78618,Diesel,Dealer,Manual,0
HyundaiSantroXing,2008,1.16,4.04,63586,Petrol,Dealer,Manual,0
MarutiSwift,2013,4.06,6.81,34459,Petrol,Dealer,Manual,0
MarutiBalenoDELTA1.2,2017,5.51,7.26,40382,Petrol,Dealer,Manual,1
DatsunRediGo,2016,1.84,3.98,31153,Petrol,Dealer,Manual,1
HondaBrio1.2SMTI,2012,3.06,5.32,43469,Petrol,Dealer,Manual,0
HondaCityVMT,2009,2.27,11.46,148906,Petrol,Dealer,Manual,1
HondaCity1.5V,2019,9.1,10.07,12538,Petrol,Dealer,Manual,0
MarutiSwift,2013,4.28,6.81,53390,Petrol,Dealer,Manual,0
HyundaiGrandi10SPORTZ1.2KAPPA,2014,4.1,6.38,65299,Petrol,Dealer,Manual,1
MarutiAlto800,2016,2.25,3.94,39630,Petrol,Dealer,Manual,0
MarutiSwiftDzireVXI1.2BS,2011,3.35,7.28,70252,Petrol,Dealer,Manual,0
Hyundaii20MAGNAO,2011,2.21,7.03,55760,Petrol,Dealer,Manual,0
RenaultLodgy110PSRXZ8,2015,5.03,10.58,34812,Diesel,Dealer,Manual,0
MarutiAlto,2007,0.78,3.9,57895,Petrol,Dealer,Manual,1
Hyundaii20MAGNAO,2010,2.11,7.03,84826,Petrol,Dealer,Manual,0
MarutiSwift,2012,5.62,8.2,31999,Petrol,Dealer,Manual,0
HyundaiGrandi10SPORTZ1.2KAPPA,2016,4.51,6.38,13349,Petrol,Dealer,Manual,0
ChevroletCruzeLTZ,2011,3.25,14.65,98989,Diesel,Dealer,Automatic,0
RenaultKwid,2018,3.21,4.5,5160,Petrol,Dealer,Manual,0
MarutiVitaraBrezzaZDI,2018,9.51,10.01,28572,Diesel,Dealer,Manual,0
HyundaiXcentS,2014,3.36,6.47,75891,Petrol,Dealer,Manual,0
HondaCityV,2012,3.91,11.48,113241,Petrol,Dealer,Automatic,0
MarutiWagonR1.0,2018,3.43,5.47,17101,Petrol,Dealer,Manual,0
HyundaiVernaFLUIDIC1.6SX,2012,3.22,11.73,84048,Diesel,Dealer,Manual,0
FordEcosport1.5TITANIUM,2014,4.39,10,152554,Diesel,Dealer,Manual,0
ToyotaEtiosLivaGD,2013,3.93,6.63,97467,Diesel,Dealer,Manual,0
MarutiNewWagon-RLXI1.0,2019,4.78,6.17,13185,Petrol,Dealer,Manual,0
MarutiRitzVXIBS,2010,1.96,5.14,114109,Petrol,Dealer,Manual,0
MarutiSwiftVDI,2015,5.66,7,70952,Diesel,Dealer,Manual,0
MarutiSwiftDzireVDIBS,2013,3.35,6.46,80394,Diesel,Dealer,Manual,0
MarutiRitzVXI,2009,2.08,5.14,56276,Petrol,Dealer,Manual,1
HyundaiElitei20MAGNA1.4,2015,5.88,7.69,110531,Diesel,Dealer,Manual,0
HyundaiGrandi10ERA1.2,2014,3.45,5,23794,Petrol,Dealer,Manual,1
MarutiWagonR1.0LXI,2015,2.42,5.16,88514,Petrol,Dealer,Manual,1
HondaCitySMT,2009,2.42,8.77,76901,Petrol,Dealer,Manual,0
MarutiSwiftVXI,2008,2.41,6.81,103401,Petrol,Dealer,Manual,3
HyundaiSantroXingGL,2011,2.5,3.8,55945,Petrol,Dealer,Manual,0
HyundaiGrandi10MAGNA1.2,2013,3.03,6.06,106064,Petrol,Dealer,Manual,0
HyundaiElitei20SPORTZ,2016,5.44,7.39,35153,Petrol,Dealer,Manual,0
MarutiSwiftDzireVXI1.2BS,2013,3.54,7.28,135829,Petrol,Dealer,Manual,1
HyundaiElitei20SPORTZ,2016,5.52,7.39,58361,Petrol,Dealer,Manual,1
MarutiRitzVXIBS,2014,2.94,5.14,45465,Petrol,Dealer,Manual,1
HyundaiVernaFLUIDIC1.6SX,2013,4.15,11.72,49718,Diesel,Dealer,Manual,0
MarutiEeco5STRWITHAC,2017,3.89,5,32883,Petrol,Dealer,Manual,0
HyundaiSantroXingXOERLXEURO,2007,1.15,3.76,82791,Petrol,Dealer,Manual,0
Hyundaii20MAGNAO,2011,2.35,7.03,71611,Petrol,Dealer,Manual,1
MarutiCiazVDI,2014,4.91,9.2,103867,Diesel,Dealer,Manual,0
HyundaiElitei20SPORTZ,2016,5.54,8.44,109448,Diesel,Dealer,Manual,0
MarutiSwiftDzire,2010,2.81,7.1,97436,Diesel,Dealer,Manual,0
MarutiAStar,2010,1.99,4.55,68714,Petrol,Dealer,Manual,1
MahindraScorpio,2017,11.17,16.2,72706,Diesel,Dealer,Manual,0
MarutiSwiftDzire,2008,1.93,7.1,89412,Petrol,Dealer,Manual,1
ToyotaEtios,2011,2.62,8.14,170425,Petrol,Dealer,Manual,0
